name,url,original_price,current_price,rating,orders,thumbnail,scrape_time
original Xiaomi Redmi 6 /6A/ mi7 3GB 32GB/4GB 64GB celular googleplay Fingerprint Octa-core Global Rom 4G Smartphone,https://www.aliexpress.com/item/1005005471518954.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-16&pdp_ext_f=%7B%22order%22%3A%2297%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21641.47%21314.30%21%21%2165.29%2131.99%21%40211b813b17544731586948888e4da0%2112000033491793692%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=dKRxRm3gctxV&utparam-url=scene%3Asearch%7Cquery_from%3A,641.47,314.3,4.1,97 sold,https://ae-pic-a1.aliexpress-media.com/kf/Sbb781d0da55e431da239c9526c6816456.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:36.967900
SOYES S26 Ultra-thin Smartphone 2GB RAM 16GB ROM Android8.1 Dual SIM Standby 1000mAh 3G Network Compact Mobile Phone,https://www.aliexpress.com/item/1005006600180293.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-17&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211189.90%21594.95%21%21%21871.08%21435.54%21%40211b813b17544731586948888e4da0%2112000037780942626%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=gAhjzxOjnd6m&utparam-url=scene%3Asearch%7Cquery_from%3A,1189.9,594.95,4,3 sold,https://ae-pic-a1.aliexpress-media.com/kf/S562d47f81a0c49e998dbcd917883526ck.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:37.146058
"SOYES XS16 Mini Android10.0 Smartphone 4G Network 2GB RAM 16GB ROM 3"" Display 5MP Camera Dual SIM With Play Store WhatsAPP",https://www.aliexpress.com/item/1005007010375317.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-18&pdp_ext_f=%7B%22order%22%3A%222749%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007010375317%22%2C%22orig_item_id%22%3A%221005006016438554%22%7D&pdp_npi=6%40dis%21MAD%211359.44%21679.72%21%21%21995.20%21497.60%21%40211b813b17544731586948888e4da0%2112000039050627396%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=7DAAHd6Gwk0F&utparam-url=scene%3Asearch%7Cquery_from%3A,1359.44,679.72,4.9,"2,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S8be5fa07f4ec446ca7ed75b9662ac1fdp.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:37.321291
OEM LCD For Samsung Galaxy A04 LCD A045 Display A04S LCD A047 Touch Screen For Galaxy A04E LCD A042 Display Assembly Replace,https://www.aliexpress.com/item/1005008754541355.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&aem_p4p_detail=202508060239188210297498350200001769818&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-19&pdp_ext_f=%7B%22order%22%3A%22222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21124.58%21124.58%21%21%2112.68%2112.68%21%40211b813b17544731586948888e4da0%2112000046529109320%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=Vsf2OMifcTkE&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508060239188210297498350200001769818_5,124.58,124.58,4.7,222 sold,https://ae-pic-a1.aliexpress-media.com/kf/Sb560d0d0abf54c55b89443f80f244ee5c.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:37.498397
Xiaomi Redmi Note 12 5G Smartphone Global Rom 12GB 256GB 6.67'' GOLED Display 120Hz Snapdragon 4 Gen 1 48MP Dual Camera 33W,https://www.aliexpress.com/item/1005008689843036.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-20&pdp_ext_f=%7B%22order%22%3A%2264%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%212115.60%211036.63%21%21%21215.33%21105.51%21%40211b813b17544731586948888e4da0%2112000046253865597%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=CcgMPKmb5IdO&utparam-url=scene%3Asearch%7Cquery_from%3A,2115.6,1036.63,4.5,64 sold,https://ae-pic-a1.aliexpress-media.com/kf/S344a6c89be2049f2ba1799717a42c505D.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:37.693355
VIVO Y85 Smartphone Global firmware Android 4G Unlocked 6.26 inch 4GB 64GB Camera 13MP All Colors in Good Condition Used Phone,https://www.aliexpress.com/item/1005007010303979.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-21&pdp_ext_f=%7B%22order%22%3A%22253%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211478.80%21680.25%21%21%211082.58%21497.99%21%40211b813b17544731586948888e4da0%2112000039055369620%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=QGZgLQPgr2oG&utparam-url=scene%3Asearch%7Cquery_from%3A,1478.8,680.25,4.7,253 sold,https://ae-pic-a1.aliexpress-media.com/kf/S9c9d1796db644e3ebf77a1d9b3e06700m.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:37.871484
"SOYES S23 Pro 3.0"" Android8.1 Mini Smartphone 2GB RAM 16GB ROM Dual SIM Standby 1000mAh 3G Network Compact Mobile Phone",https://www.aliexpress.com/item/1005007058429822.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-22&pdp_ext_f=%7B%22order%22%3A%22245%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211216.78%21608.39%21%21%21890.76%21445.38%21%40211b813b17544731586948888e4da0%2112000039264215996%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=snqB1opNRALt&utparam-url=scene%3Asearch%7Cquery_from%3A,1216.78,608.39,4.5,245 sold,https://ae-pic-a1.aliexpress-media.com/kf/S8e2d611fc7d945b4bbfd863660438766F.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:38.047616
"6.71"" For Xiaomi Redmi 10C LCD Display Touch Screen Digitizer Assembly For Redmi 10C 220333QBI Lcd Screen With Frame",https://www.aliexpress.com/item/1005007767184865.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&aem_p4p_detail=202508060239188210297498350200001769818&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-23&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21170.82%21170.82%21%21%21125.05%21125.05%21%40211b813b17544731586948888e4da0%2112000042136590584%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=ghAaPSQGT2d2&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508060239188210297498350200001769818_6,170.82,170.82,4.6,30 sold,https://ae-pic-a1.aliexpress-media.com/kf/S89b1deb0e45e45f68d753cda10bbb3e1n.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:38.227747
Xiaomi Mi max 3 smartphone 4G Snapdragon 636 Facial recognition Posterior fingerprint Used phone,https://www.aliexpress.com/item/1005008557550647.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-24&pdp_ext_f=%7B%22order%22%3A%22225%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008557550647%22%2C%22orig_item_id%22%3A%221005007816851514%22%7D&pdp_npi=6%40dis%21MAD%212448.64%211224.32%21%21%211792.56%21896.28%21%40211b813b17544731586948888e4da0%2112000045701575261%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=whQiRLf79Y3f&utparam-url=scene%3Asearch%7Cquery_from%3A,2448.64,1224.32,4.9,225 sold,https://ae-pic-a1.aliexpress-media.com/kf/Ad2263323a14044938492f90f787f5572Z.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:38.422792
"2025 NEW mini Android Smartphone 3.88"" HD Display,4G LTE/3G WCDMA,4GB+128GB/2GB+16GB,2000mAh Battery Small Mobile Phone Unlocked",https://www.aliexpress.com/item/1005009384022726.html?algo_pvid=4f7dd858-68de-441c-b726-e8d8393c5d13&algo_exp_id=4f7dd858-68de-441c-b726-e8d8393c5d13-25&pdp_ext_f=%7B%22order%22%3A%2281%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005009384022726%22%2C%22orig_item_id%22%3A%221005009032270113%22%7D&pdp_npi=6%40dis%21MAD%211204.27%21602.14%21%21%21881.60%21440.80%21%40211b813b17544731586948888e4da0%2112000048937293395%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=pWIVW4aaeKt5&utparam-url=scene%3Asearch%7Cquery_from%3A,1204.27,602.14,4.9,81 sold,https://ae-pic-a1.aliexpress-media.com/kf/S677340253af04dad9a9ee3b31a23c649y.jpg_480x480q75.jpg_.avif,2025-08-06T10:39:38.597728
